batch,run,preset,count,mean_attunement,std_attunement,att_min,att_p95,att_max,mean_stress,std_stress,stress_min,stress_p95,stress_max,total_ticks,salience_decay,highly_variable_rate,event_rate,memory_buffer_size,memory_decay,memory_prune_threshold,low_salience_var_rate,bin_size,mean_selection_confidence,mean_prediction_error,mean_ext_load,mean_mem_load,mean_affect_volatility,mean_salience,rate_action_executed,rate_semantic_micro_update,rate_semanticization,rate_self_model_update,rate_suppression_applied,rate_early_dismissal,theta0,theta_s_mult,gate_by_attunement,gate_temperature,replay_softmax,explore_error_gain,softmax_temp,explore_floor
508434,1,default_v2_calibrated,5000,0.638663649559021,0.39664578437805176,1.0692233445297461e-05,0.9999359548091888,0.9999996423721313,0.7723667025566101,0.04433434084057808,0.6517401337623596,0.8408847749233246,0.862869381904602,5000,,,,,,,,,0.5869126918075753,0.1820613087879185,0.4960833191871643,0.9634715914726257,0.053342055529356,0.5113386684733865,0.5547561950439648,0.0,0.0,0.18705035971223022,0.0015987210231814548,0.019984012789768184,9.2,0.15,1,1.2,0,2.0,1.0,0.0
508434,0,default_v2_calibrated,5000,0.6578904986381531,0.39419814944267273,1.6937353531358245e-17,0.9999559223651886,0.9999992251396179,0.773027241230011,0.04453905671834946,0.6538209319114685,0.8390541672706604,0.8637697696685791,5000,,,,,,,,,0.5873728817363056,0.18009386560955257,0.49778351187705994,0.9430461525917053,0.05312635749578476,0.45643645623992146,0.5819344524380495,0.0,0.0,0.17665867306155075,0.002398081534772182,0.027977617905675458,9.2,0.15,1,1.2,0,2.0,1.0,0.0
896868,1,default_v2_calibrated,5000,0.6014684438705444,0.40964770317077637,3.778436947815458e-15,0.9999450147151947,0.9999995827674866,0.7734599113464355,0.044426679611206055,0.6342748999595642,0.8403327763080597,0.8641754984855652,5000,,,,,,,,,0.5862959938035975,0.18821069525980422,0.5093848705291748,0.9567165374755859,0.05322718247771263,0.5174017720144811,0.5091926458832934,0.0,0.0,0.21502797761790568,0.0015987210231814548,0.01838529176658673,9.2,0.15,1,1.2,0,2.0,1.0,0.0
896868,0,default_v2_calibrated,5000,0.6760010719299316,0.38809069991111755,6.083292646508198e-06,0.9999776184558868,0.9999999403953552,0.7729628086090088,0.04477473348379135,0.6547133326530457,0.8384896516799927,0.8705399036407471,5000,,,,,,,,,0.5862066890838906,0.182639836968041,0.48807668685913086,0.9502688646316528,0.0548798032104969,0.44220709717656814,0.583533173461231,0.0,0.0,0.2038369304556355,0.002398081534772182,0.04716227018385292,9.2,0.15,1,1.2,0,2.0,1.0,0.0
770037,0,default_v2_calibrated,5000,0.6287190318107605,0.40021103620529175,3.3065828449873463e-15,0.9999427795410156,0.9999992251396179,0.7721744775772095,0.04471409320831299,0.6419714689254761,0.839163601398468,0.8666419386863708,5000,,,,,,,,,0.5869057669961671,0.18092969287760724,0.5034294128417969,0.9333356618881226,0.05415734648704529,0.5023789288891892,0.5643485211830536,0.0,0.0,0.19104716227018384,0.0,0.02158273381294964,9.2,0.15,1,1.2,0,2.0,1.0,0.0
770037,1,default_v2_calibrated,5000,0.6601083874702454,0.39450711011886597,1.78069690069671e-12,0.9999559223651886,0.9999995827674866,0.7722383141517639,0.04419029876589775,0.6553574800491333,0.8392352163791656,0.8649490475654602,5000,,,,,,,,,0.5865542301885801,0.18105402273662147,0.500701904296875,0.9366403222084045,0.0545407310128212,0.4695945032440471,0.586730615507594,0.0,0.0,0.18225419664268586,0.0,0.023181454836131096,9.2,0.15,1,1.2,0,2.0,1.0,0.0
698910,1,default_v2_calibrated,5000,0.6534656286239624,0.3946579098701477,5.280164145915478e-07,0.9999624192714691,0.9999997019767761,0.7725732922554016,0.044321849942207336,0.6440898180007935,0.840715765953064,0.8623723387718201,5000,,,,,,,,,0.5866682860109922,0.18183159519745629,0.5033248066902161,0.9219313859939575,0.05402469262480736,0.4737642943893718,0.5523581135091926,0.0,0.0,0.1838529176658673,0.002398081534772182,0.03117505995203837,9.2,0.15,1,1.2,0,2.0,1.0,0.0
698910,0,default_v2_calibrated,5000,0.6287651062011719,0.4017462432384491,6.721047611790709e-06,0.9999508559703827,0.9999996423721313,0.7728242874145508,0.04398466646671295,0.6575844287872314,0.8384790122509003,0.8632405996322632,5000,,,,,,,,,0.5877626898715631,0.1837747876133719,0.48250970244407654,0.949084997177124,0.05320646986365318,0.5019138451177273,0.580335731414868,0.0,0.0,0.1982414068745004,0.0015987210231814548,0.015187849720223821,9.2,0.15,1,1.2,0,2.0,1.0,0.0
