batch,run,preset,count,mean_attunement,std_attunement,att_min,att_p95,att_max,mean_stress,std_stress,stress_min,stress_p95,stress_max,total_ticks,salience_decay,highly_variable_rate,event_rate,memory_buffer_size,memory_decay,memory_prune_threshold,low_salience_var_rate,bin_size,mean_selection_confidence,mean_prediction_error,mean_ext_load,mean_mem_load,mean_affect_volatility,mean_salience,rate_action_executed,rate_semantic_micro_update,rate_semanticization,rate_self_model_update,rate_suppression_applied,rate_early_dismissal,theta0,theta_s_mult,gate_by_attunement,gate_temperature,replay_softmax,explore_error_gain,softmax_temp,explore_floor
521218,2,default,5000,0.00580256013199687,0.018858758732676506,3.86733717050447e-07,0.03311057761311531,0.16829967498779297,0.6196187734603882,0.126505047082901,0.2817310392856598,0.8216882348060608,0.9361199140548706,5000,,,,,,,,,0.6635843158292352,0.18392937852032468,0.4968689978122711,0.9630381464958191,0.05343013256788254,0.4641870241735032,0.9704236610711431,0.31254996003197444,0.002398081534772182,0.4308553157474021,0.004796163069544364,0.029576338928856916,0.07,0.65,,,,,,
521218,3,default,5000,0.0054136305116117,0.01863662526011467,2.3595796960762527e-07,0.03065123874694109,0.2604614496231079,0.6186226606369019,0.12479713559150696,0.2851882576942444,0.8242453932762146,0.8986950516700745,5000,,,,,,,,,0.6630466789793339,0.18974446953453922,0.502293586730957,0.9465161561965942,0.05381050333380699,0.4831209838007697,0.9632294164668266,0.3061550759392486,0.0,0.4324540367705835,0.002398081534772182,0.03677058353317346,0.07,0.65,,,,,,
521218,4,default,5000,0.006238257046788931,0.02154197357594967,3.091530516030616e-07,0.03573279827833176,0.4210923910140991,0.6213840842247009,0.1288367509841919,0.29771876335144043,0.8352563083171844,0.936367928981781,5000,,,,,,,,,0.6629298275752034,0.1905277950494947,0.4974484145641327,0.96940678358078,0.053687483072280884,0.4586938135091403,0.9568345323741008,0.31254996003197444,0.0015987210231814548,0.4380495603517186,0.0007993605115907274,0.04316546762589928,0.07,0.65,,,,,,
521218,1,default,5000,0.004814974032342434,0.016344882547855377,4.5579136553897115e-07,0.022048157639801502,0.19669115543365479,0.6199294924736023,0.12717828154563904,0.3144179880619049,0.8328637480735779,0.9202894568443298,5000,,,,,,,,,0.6625545592569142,0.1820613087879185,0.4960833191871643,0.9665496349334717,0.05342159420251846,0.5105093438997209,0.9832134292565947,0.30455635491606714,0.0,0.42046362909672264,0.0015987210231814548,0.016786570743405275,0.07,0.65,,,,,,
521218,0,default,5000,0.006339256186038256,0.02182035893201828,9.17779524253759e-13,0.026774756610393524,0.1860128492116928,0.6223667860031128,0.1277352273464203,0.3197612166404724,0.8266614377498627,0.923541247844696,5000,,,,,,,,,0.663240341617049,0.18009386560955257,0.49778351187705994,0.9587931036949158,0.05406363308429718,0.4568942081131827,0.9728217426059153,0.31095123900879296,0.0,0.41247002398081534,0.002398081534772182,0.02717825739408473,0.07,0.65,,,,,,
432265,1,default,5000,0.004677613265812397,0.015076728537678719,1.3375002494431243e-11,0.023138968273997307,0.23086406290531158,0.6227810382843018,0.12752945721149445,0.2734066843986511,0.8305982947349548,0.9252681732177734,5000,,,,,,,,,0.6606928083917601,0.18821069525980422,0.5093848705291748,0.9566245675086975,0.05385645106434822,0.513425686490833,0.9808153477218226,0.2941646682653877,0.0,0.42525979216626697,0.0015987210231814548,0.019184652278177457,0.07,0.65,,,,,,
432265,4,default,5000,0.007133238948881626,0.023586716502904892,2.053823351388928e-07,0.03493714705109596,0.30292418599128723,0.6191704869270325,0.12562879920005798,0.3162779211997986,0.8165587484836578,0.9041162729263306,5000,,,,,,,,,0.661683550936808,0.18577223359227454,0.5062816739082336,0.9377341866493225,0.05337772145867348,0.4580654788276197,0.9640287769784173,0.31254996003197444,0.0015987210231814548,0.4364508393285372,0.0015987210231814548,0.03597122302158273,0.07,0.65,,,,,,
432265,3,default,5000,0.006165945436805487,0.021855058148503304,6.204406304277654e-07,0.028780081309378147,0.45066046714782715,0.620047926902771,0.12821993231773376,0.28440311551094055,0.8277570903301239,0.9303894639015198,5000,,,,,,,,,0.6635528227074636,0.1864688964004753,0.506439745426178,0.9306738972663879,0.054047901183366776,0.4829305269440236,0.9672262190247801,0.3101518784972022,0.0,0.4260591526778577,0.0031974420463629096,0.032773780975219824,0.07,0.65,,,,,,
432265,0,default,5000,0.007777303922921419,0.02700430527329445,3.099750074397889e-07,0.0437262449413538,0.4261648654937744,0.6212086081504822,0.12834540009498596,0.319680780172348,0.8235585391521454,0.9527756571769714,5000,,,,,,,,,0.6627699708481201,0.182639836968041,0.48807668685913086,0.947380781173706,0.05394105240702629,0.44414999268704847,0.9568345323741008,0.2973621103117506,0.003996802557953637,0.4212629896083134,0.002398081534772182,0.04316546762589928,0.07,0.65,,,,,,
432265,2,default,5000,0.006510064471513033,0.02160140872001648,7.870427509715228e-08,0.02896260190755129,0.2745789885520935,0.6200862526893616,0.12962250411510468,0.2668657898902893,0.8201267719268799,0.9307689070701599,5000,,,,,,,,,0.6628030010169264,0.17889272196712602,0.5032932758331299,0.9495390057563782,0.05498235672712326,0.46169269126583096,0.9672262190247801,0.3117505995203837,0.002398081534772182,0.4084732214228617,0.002398081534772182,0.032773780975219824,0.07,0.65,,,,,,
984074,1,default,5000,0.006005618255585432,0.02037641778588295,2.976337787341521e-10,0.027306241914629936,0.21844211220741272,0.6190228462219238,0.12660245597362518,0.3169986605644226,0.8262649774551392,0.9286043047904968,5000,,,,,,,,,0.6629311815678454,0.18105402273662147,0.500701904296875,0.9345121383666992,0.05434900149703026,0.46411978601248,0.9760191846522782,0.3117505995203837,0.0,0.4244604316546763,0.0,0.023980815347721823,0.07,0.65,,,,,,
