RT,accuracy,p_correct,correct,action_executed,action_rate,attunement_mean,attunement_std,attunement_final,attunement_min,attunement_max,stress_mean,stress_std,ext_load_mean,mem_load_mean,aff_vol_mean,dominant_mode,PE_mean,PE_max,confidence_mean,trial_number,duration,preset,seed,git_commit,replay_mode_counts.converge,replay_mode_counts.explore,replay_mode_counts.stabilize,stimulus.ext_load_target,stimulus.mem_load_target,stimulus.condition
1228.3233642578125,0.0,0.0,False,True,0.01,0.023452511057257652,0.06858688592910767,0.004023395944386721,2.89651941320912e-10,0.5856910347938538,0.6065728664398193,0.13391435146331787,0.49137383699417114,0.5090503096580505,0.08071966469287872,stabilize,0.20201133019795633,0.7580211758613586,0.6563537466526032,1,200,default,43,b52458e,54,6,140,0.6,0.9,ext0.6_mem0.9
1195.9033203125,0.0,0.0,False,True,0.025,0.01998574286699295,0.07644875347614288,0.00635971873998642,8.646350779448198e-13,0.5948607325553894,0.6087028980255127,0.13318760693073273,0.49575427174568176,0.5068714022636414,0.07549407333135605,stabilize,0.1865427408528214,0.796656608581543,0.6579014992713929,2,200,default,44,b52458e,37,4,159,0.9,0.3,ext0.9_mem0.3
1155.846435546875,0.0,0.0,False,True,0.84,0.010356685146689415,0.03560983017086983,6.824137381045148e-05,1.3185747000656667e-18,0.22576045989990234,0.6320836544036865,0.11411967128515244,0.4947241544723511,0.4536544680595398,0.09852786362171173,stabilize,0.21822441321070074,0.7830985188484192,0.6346942345798016,3,200,default,45,b52458e,56,4,140,0.9,0.9,ext0.9_mem0.9
1260.5291748046875,0.0,0.0,False,True,0.025,0.023053951561450958,0.05980086326599121,2.55411123362137e-06,1.0224925262036777e-07,0.4250415861606598,0.606998085975647,0.13431000709533691,0.49052363634109497,0.4821288287639618,0.08679094165563583,stabilize,0.20057577478790847,0.7929144501686096,0.6531054852902889,4,200,default,46,b52458e,55,4,141,0.6,0.6,ext0.6_mem0.6
1197.7398681640625,0.0,0.0,False,True,0.02,0.016039909794926643,0.047589585185050964,0.00032049816218204796,1.4718234524480067e-06,0.3503066301345825,0.6180896759033203,0.13049989938735962,0.517134964466095,0.5350378155708313,0.08693736791610718,stabilize,0.19600679419409062,0.9499981999397278,0.6474864640831948,5,200,default,47,b52458e,46,5,149,0.6,0.9,ext0.6_mem0.9
1271.22705078125,0.0,0.0,False,True,0.01,0.017878500744700432,0.05497557297348976,0.002194441854953766,5.063656089987489e-07,0.4422121047973633,0.6009968519210815,0.14066457748413086,0.49983611702919006,0.500802755355835,0.09030573070049286,stabilize,0.19571676470649435,0.766453742980957,0.6543487007915973,6,200,default,48,b52458e,60,5,135,0.6,0.6,ext0.6_mem0.6
1273.9010009765625,0.0,0.0,False,True,0.005,0.01673073135316372,0.05377977341413498,0.001408930984325707,1.53640832695201e-11,0.45907968282699585,0.613670289516449,0.14005635678768158,0.5217575430870056,0.5052117109298706,0.0741770789027214,stabilize,0.21305645080981775,0.7462254166603088,0.6560763241350651,7,200,default,49,b52458e,42,4,154,0.9,0.9,ext0.9_mem0.9
1164.440673828125,0.0,0.0,False,True,0.015,0.013797121122479439,0.04421539604663849,3.1237566872732714e-05,2.495533224511348e-10,0.4959004521369934,0.6147531867027283,0.13370203971862793,0.4623418152332306,0.49405789375305176,0.08214835077524185,stabilize,0.18456452326449835,0.6524423360824585,0.651549236625433,8,200,default,50,b52458e,48,2,150,0.9,0.3,ext0.9_mem0.3
1155.8917236328125,0.0,0.0,False,True,0.015,0.013768753036856651,0.04313868284225464,1.1966850252065342e-05,3.4463468523426855e-07,0.4661490321159363,0.6279346346855164,0.14581070840358734,0.5175087451934814,0.4883735775947571,0.0777106061577797,stabilize,0.20022667046347578,0.6562650799751282,0.6471773555874825,9,200,default,51,b52458e,38,1,161,0.3,0.3,ext0.3_mem0.3
1204.8834228515625,0.0,0.0,False,False,0.0,0.01870081014931202,0.06210910156369209,0.013738553039729595,1.3165362133804592e-06,0.6188564300537109,0.602985143661499,0.14166973531246185,0.4901951849460602,0.5083445906639099,0.0781923234462738,stabilize,0.20293506358250624,0.8335052728652954,0.659411292821169,10,200,default,52,b52458e,45,6,149,0.6,0.6,ext0.6_mem0.6
1144.8895263671875,0.0,0.0,False,True,0.01,0.013682490214705467,0.037115659564733505,0.0001316189009230584,4.571118594753898e-09,0.33430010080337524,0.6187548637390137,0.13786733150482178,0.4967750608921051,0.4909946918487549,0.08384550362825394,stabilize,0.1993165545130614,0.7433221936225891,0.6486998210847378,11,200,default,53,b52458e,50,2,148,0.9,0.6,ext0.9_mem0.6
1181.091796875,0.0,0.0,False,True,0.015,0.014120769686996937,0.04366324469447136,2.5424598788958974e-05,2.9410054946943376e-10,0.43283364176750183,0.6234622001647949,0.12368859350681305,0.5298459529876709,0.4895312190055847,0.08000557124614716,stabilize,0.19611462714370645,0.6669924855232239,0.6482660952210426,12,200,default,54,b52458e,47,4,149,0.3,0.6,ext0.3_mem0.6
1012.1019897460938,0.0,0.0,False,True,0.005,0.021231599152088165,0.0562095008790493,1.603360396984499e-05,4.719914459272445e-10,0.4340185225009918,0.5977403521537781,0.14354807138442993,0.470318078994751,0.48183906078338623,0.08436553180217743,stabilize,0.19118733682402764,0.9499945044517517,0.6589470562338829,13,200,default,55,b52458e,61,5,134,0.6,0.9,ext0.6_mem0.9
