batch,run,preset,count,mean_attunement,std_attunement,att_min,att_p95,att_max,mean_stress,std_stress,stress_min,stress_p95,stress_max,total_ticks,salience_decay,highly_variable_rate,event_rate,memory_buffer_size,memory_decay,memory_prune_threshold,low_salience_var_rate,bin_size,mean_selection_confidence,mean_prediction_error,mean_ext_load,mean_mem_load,mean_affect_volatility,mean_salience,rate_action_executed,rate_semantic_micro_update,rate_semanticization,rate_self_model_update,rate_suppression_applied,rate_early_dismissal,theta0,theta_s_mult,gate_by_attunement,gate_temperature,replay_softmax,explore_error_gain,softmax_temp,explore_floor
208421,1,default,10000,0.006648681592196226,0.021583475172519684,8.528690642606307e-08,0.03340892028063536,0.22278836369514465,0.6222500205039978,0.1269453465938568,0.3081972002983093,0.8222586363554001,0.9268786311149597,10000,,,,,,,,,0.6636123943162131,0.19028185375468926,0.488964706659317,0.9737036824226379,0.05265895649790764,0.4500562912882208,0.01048951048951049,0.3104895104895105,0.0,0.4244755244755245,0.0006993006993006993,0.04195804195804196,0.11,0.6,1,1.2,0,2.0,1.0,0.0
208421,2,default,10000,0.008302036672830582,0.025516945868730545,8.747476698545142e-08,0.0414539560675621,0.44067490100860596,0.6216789484024048,0.12545593082904816,0.30766674876213074,0.8211477905511856,0.9209223389625549,10000,,,,,,,,,0.6626450749960813,0.18203756331907378,0.49601316452026367,0.976195752620697,0.052713822573423386,0.4201936949645267,0.011188811188811189,0.2923076923076923,0.0006993006993006993,0.40559440559440557,0.002797202797202797,0.05454545454545454,0.11,0.6,1,1.2,0,2.0,1.0,0.0
208421,0,default,10000,0.009683802723884583,0.030517732724547386,1.6393983393037104e-11,0.05702980570495126,0.3260049819946289,0.6213323473930359,0.12473119050264359,0.3269508481025696,0.8181320816278458,0.9306873083114624,10000,,,,,,,,,0.6623524187328098,0.18529433573879484,0.49991172552108765,0.9628547430038452,0.05373767763376236,0.42163909771902996,0.0048951048951048955,0.2923076923076923,0.0,0.4111888111888112,0.0013986013986013986,0.05034965034965035,0.11,0.6,1,1.2,0,2.0,1.0,0.0
573165,2,default,10000,0.008474351838231087,0.026585714891552925,3.0751204360690565e-10,0.03446693997830151,0.26113688945770264,0.6216192245483398,0.12529122829437256,0.3163960874080658,0.8291017472743988,0.9007424712181091,10000,,,,,,,,,0.6610112453465695,0.18093854412820126,0.5068523287773132,0.970058262348175,0.05356532707810402,0.42498156621977295,0.00909090909090909,0.2916083916083916,0.0,0.4160839160839161,0.0006993006993006993,0.03986013986013986,0.11,0.6,1,1.2,0,2.0,1.0,0.0
573165,1,default,10000,0.006802774034440517,0.0211911853402853,4.29112967381684e-09,0.038397692143917014,0.25043755769729614,0.6209080219268799,0.12703149020671844,0.25343382358551025,0.8316570073366165,0.9067569375038147,10000,,,,,,,,,0.6632968887582525,0.18700165652585096,0.4967169463634491,0.9637628793716431,0.05236194282770157,0.45636828035129223,0.005594405594405594,0.3195804195804196,0.0013986013986013986,0.43356643356643354,0.0,0.04265734265734266,0.11,0.6,1,1.2,0,2.0,1.0,0.0
573165,0,default,10000,0.010258358903229237,0.033019594848155975,1.1437956004556327e-07,0.044634333252906756,0.3413601815700531,0.6211646795272827,0.1254121959209442,0.30067944526672363,0.8185545325279235,0.9195707440376282,10000,,,,,,,,,0.6621176302849829,0.18146021764074832,0.5037113428115845,0.9609071016311646,0.05357949435710907,0.4171234753204288,0.007692307692307693,0.2867132867132867,0.0,0.3979020979020979,0.0006993006993006993,0.043356643356643354,0.11,0.6,1,1.2,0,2.0,1.0,0.0
656874,0,default,10000,0.007650283165276051,0.024589212611317635,4.613711723777669e-07,0.032438908331096104,0.22000987827777863,0.6191442012786865,0.12778820097446442,0.2913597822189331,0.8275670319795607,0.9247782826423645,10000,,,,,,,,,0.6629341290130482,0.1881557256239105,0.504105269908905,0.9407182335853577,0.05289639160037041,0.450453892284988,0.008391608391608392,0.3111888111888112,0.002797202797202797,0.4370629370629371,0.0006993006993006993,0.02937062937062937,0.11,0.6,1,1.2,0,2.0,1.0,0.0
656874,1,default,10000,0.009327690117061138,0.029956724494695663,5.176289619157615e-07,0.03899504859000443,0.3438207805156708,0.622114360332489,0.12811295688152313,0.30947062373161316,0.8344724506139755,0.937508761882782,10000,,,,,,,,,0.6622015814472746,0.18633661991269393,0.5054478645324707,0.9459517002105713,0.0536668635904789,0.4312044938692458,0.006293706293706294,0.3062937062937063,0.0006993006993006993,0.4258741258741259,0.002797202797202797,0.045454545454545456,0.11,0.6,1,1.2,0,2.0,1.0,0.0
656874,2,default,10000,0.008053052239120007,0.025574451312422752,3.581268430001864e-15,0.043784049153327766,0.23388206958770752,0.6238767504692078,0.12676435708999634,0.3021658658981323,0.831624212861061,0.9482720494270325,10000,,,,,,,,,0.6598650972326319,0.19035871983495864,0.5088366270065308,0.9767248630523682,0.05298834666609764,0.4367702114690499,0.007692307692307693,0.2958041958041958,0.0006993006993006993,0.4307692307692308,0.0006993006993006993,0.04265734265734266,0.11,0.6,1,1.2,0,2.0,1.0,0.0
