batch,run,preset,count,mean_attunement,std_attunement,att_min,att_p95,att_max,mean_stress,std_stress,stress_min,stress_p95,stress_max,total_ticks,salience_decay,highly_variable_rate,event_rate,memory_buffer_size,memory_decay,memory_prune_threshold,low_salience_var_rate,bin_size,mean_selection_confidence,mean_prediction_error,mean_ext_load,mean_mem_load,mean_affect_volatility,mean_salience,rate_action_executed,rate_semantic_micro_update,rate_semanticization,rate_self_model_update,rate_suppression_applied,rate_early_dismissal,theta0,theta_s_mult,gate_by_attunement,gate_temperature,replay_softmax,explore_error_gain,softmax_temp,explore_floor
108221,0,default,5000,0.008125307969748974,0.02599732019007206,6.419097253740347e-09,0.03634004108607769,0.2936699390411377,0.6182848811149597,0.1273687481880188,0.31058162450790405,0.8225608170032501,0.9043456315994263,5000,,,,,,,,,0.6629111177200894,0.1833491931689462,0.5031373500823975,0.9329981207847595,0.054443638771772385,0.443395396535226,0.007194244604316547,0.3061550759392486,0.003996802557953637,0.4228617106314948,0.002398081534772182,0.03836930455635491,0.09,0.65,1,1.2,0,2.0,1.0,0.0
108221,1,default,5000,0.005861729849129915,0.020074132829904556,1.774757976136243e-07,0.021903589367866516,0.21183523535728455,0.6199039816856384,0.12769488990306854,0.3235229551792145,0.8236265182495117,0.9361656308174133,5000,,,,,,,,,0.6624923519950976,0.18240073103470095,0.5006232261657715,0.9658705592155457,0.054868921637535095,0.47461771990636364,0.004796163069544364,0.2965627498001599,0.0,0.41566746602717825,0.002398081534772182,0.023181454836131096,0.09,0.65,1,1.2,0,2.0,1.0,0.0
544158,1,default,5000,0.006024874746799469,0.021057967096567154,3.5782027341113576e-10,0.02815903164446354,0.4654863476753235,0.6213693618774414,0.1273941844701767,0.31519755721092224,0.8436621725559235,0.9080765247344971,5000,,,,,,,,,0.6618168259696137,0.17936254940466462,0.5067683458328247,0.9447981715202332,0.053375568240880966,0.46089587543088256,0.005595523581135092,0.31414868105515587,0.0007993605115907274,0.4212629896083134,0.0031974420463629096,0.025579536370903277,0.09,0.65,1,1.2,0,2.0,1.0,0.0
544158,0,default,5000,0.006587617564946413,0.0214066281914711,7.188314725681266e-07,0.03091346938163042,0.28660696744918823,0.6191170811653137,0.12642855942249298,0.28587889671325684,0.8234579265117645,0.916679322719574,5000,,,,,,,,,0.6642758287638306,0.17852563362762183,0.4858349561691284,0.9454715251922607,0.05386499688029289,0.4586515574333378,0.007993605115907274,0.328537170263789,0.0,0.434052757793765,0.0031974420463629096,0.032773780975219824,0.09,0.65,1,1.2,0,2.0,1.0,0.0
