batch,run,preset,count,mean_attunement,std_attunement,att_min,att_p95,att_max,mean_stress,std_stress,stress_min,stress_p95,stress_max,total_ticks,salience_decay,highly_variable_rate,event_rate,memory_buffer_size,memory_decay,memory_prune_threshold,low_salience_var_rate,bin_size,mean_selection_confidence,mean_prediction_error,mean_ext_load,mean_mem_load,mean_affect_volatility,mean_salience,rate_action_executed,rate_semantic_micro_update,rate_semanticization,rate_self_model_update,rate_suppression_applied,rate_early_dismissal,theta0,theta_s_mult,gate_by_attunement,gate_temperature,replay_softmax,explore_error_gain,softmax_temp,explore_floor
444650,0,default,5000,0.000137723283842206,0.0011740527115762234,5.749522023787777e-19,0.00018032836669590324,0.021638397127389908,0.704322099685669,0.26086047291755676,0.010530311614274979,0.9849199950695038,1.0,5000,,,,,,,,,0.623603427796055,0.18437642015801725,0.49524378776550293,0.912063717842102,0.054000988602638245,0.48376107662577456,0.0,0.26938449240607515,0.013589128697042365,0.381294964028777,0.0,0.02238209432454037,0.11,0.6,1,1.2,0,2.0,1.0,0.0
161443,0,default,5000,0.00033076124964281917,0.002869712421670556,6.416774324890205e-15,0.00045141360897105187,0.05372261628508568,0.6938644647598267,0.26852190494537354,0.013614949770271778,0.9848909676074982,0.9999632835388184,5000,,,,,,,,,0.6269989620438583,0.1855005123031546,0.4977017939090729,0.8706033229827881,0.05383938178420067,0.4738560146470234,0.0,0.28776978417266186,0.023980815347721823,0.3964828137490008,0.0007993605115907274,0.037569944044764186,0.11,0.6,1,1.2,0,2.0,1.0,0.0
192502,0,default,5000,0.0002925426815636456,0.002555576851591468,5.749522023787777e-19,0.00036312582960817963,0.060938525944948196,0.698630690574646,0.2648783326148987,0.00866235326975584,0.9865173697471619,0.9999991655349731,5000,,,,,,,,,0.6212022454142094,0.18224187921510257,0.5030303597450256,0.8939081430435181,0.05434344708919525,0.4699362528683107,0.0,0.2573940847322142,0.019184652278177457,0.36610711430855314,0.0007993605115907274,0.030375699440447643,0.11,0.6,1,1.2,0,2.0,1.0,0.0
838955,0,default,5000,0.0006295248749665916,0.0059422594495117664,1.9734222574222952e-16,0.00032882398227229714,0.09513150155544281,0.6937448978424072,0.26736220717430115,0.015371762216091156,0.9829761981964111,0.9999728202819824,5000,,,,,,,,,0.6240898866733487,0.1826442602678471,0.5018296837806702,0.8510918021202087,0.05390328913927078,0.46746736493849045,0.0,0.2717825739408473,0.029576338928856916,0.3844924060751399,0.0007993605115907274,0.03117505995203837,0.11,0.6,1,1.2,0,2.0,1.0,0.0
512081,0,default,5000,0.0006924148765392601,0.00679191667586565,9.82351940649733e-19,0.0006153712165541947,0.15503767132759094,0.6943638920783997,0.2635481357574463,0.008284414187073708,0.9842076599597931,0.9999952912330627,5000,,,,,,,,,0.6288327550430663,0.18103113920328356,0.4946005940437317,0.8512352108955383,0.05450635775923729,0.4489008291087729,0.0,0.290167865707434,0.02478017585931255,0.3980815347721823,0.0007993605115907274,0.03437250199840128,0.11,0.6,1,1.2,0,2.0,1.0,0.0
799849,0,default,5000,0.00037428189534693956,0.0033616279251873493,5.749522023787777e-19,0.00044128041190560907,0.06359568238258362,0.6985329985618591,0.26361921429634094,0.026091545820236206,0.9858395755290985,0.9999998807907104,5000,,,,,,,,,0.6236660873575463,0.18865760617193997,0.49749425053596497,0.8953517079353333,0.05560063570737839,0.4506443289788269,0.0,0.27817745803357313,0.013589128697042365,0.38928856914468424,0.0015987210231814548,0.03916866506794564,0.11,0.6,1,1.2,0,2.0,1.0,0.0
430062,0,default,5000,0.00037659454392269254,0.0036020546685904264,5.749522023787777e-19,0.0004385165957501158,0.06331571936607361,0.6998347640037537,0.2602253258228302,0.03202243894338608,0.9835992157459259,0.9999993443489075,5000,,,,,,,,,0.6258263549596953,0.18670702301472764,0.495378702878952,0.8876128792762756,0.054586153477430344,0.45604339474142136,0.0,0.27258193445243806,0.020783373301358914,0.3764988009592326,0.0,0.025579536370903277,0.11,0.6,1,1.2,0,2.0,1.0,0.0
371898,0,default,5000,0.0004766002530232072,0.0038698427379131317,7.512000924833342e-19,0.0007830121030565351,0.038058165460824966,0.6973690390586853,0.2678997814655304,0.02043299749493599,0.987412303686142,0.9999952912330627,5000,,,,,,,,,0.6240838607438177,0.18813484324403063,0.4910939931869507,0.9066342711448669,0.055203016847372055,0.4377773513907282,0.0,0.2733812949640288,0.016786570743405275,0.39408473221422863,0.002398081534772182,0.04476418864908074,0.11,0.6,1,1.2,0,2.0,1.0,0.0
796946,0,default,5000,0.0005989297060295939,0.005463851615786552,3.0090587106160107e-15,0.0006958006124477834,0.12713558971881866,0.6945756077766418,0.26873326301574707,0.016215069219470024,0.9859842956066132,0.9998883605003357,5000,,,,,,,,,0.628901667732129,0.18712936231285035,0.49533605575561523,0.8703058958053589,0.054037582129240036,0.44604107575360047,0.0,0.29256594724220625,0.0319744204636291,0.39888089528377296,0.0007993605115907274,0.0407673860911271,0.11,0.6,1,1.2,0,2.0,1.0,0.0
934709,0,default,5000,0.00025151990121230483,0.002460339106619358,5.749522023787777e-19,0.00043289455061312765,0.10288658738136292,0.6999716758728027,0.2620652914047241,0.04966195672750473,0.9864312708377838,0.9999993443489075,5000,,,,,,,,,0.6225610542163955,0.18809632431551665,0.49806004762649536,0.9153659343719482,0.05361282080411911,0.45176611520522325,0.0,0.26938449240607515,0.01598721023181455,0.3852917665867306,0.0015987210231814548,0.04396482813749001,0.11,0.6,1,1.2,0,2.0,1.0,0.0
