batch,run,preset,count,mean_attunement,std_attunement,att_min,att_p95,att_max,mean_stress,std_stress,stress_min,stress_p95,stress_max,total_ticks,salience_decay,highly_variable_rate,event_rate,memory_buffer_size,memory_decay,memory_prune_threshold,low_salience_var_rate,bin_size,mean_selection_confidence,mean_prediction_error,mean_ext_load,mean_mem_load,mean_affect_volatility,mean_salience,rate_action_executed,rate_semantic_micro_update,rate_semanticization,rate_self_model_update,rate_suppression_applied,rate_early_dismissal,theta0,theta_s_mult,gate_by_attunement,gate_temperature,replay_softmax,explore_error_gain,softmax_temp,explore_floor
280985,1,default,5000,0.008174208924174309,0.02788313291966915,3.5122587860314525e-07,0.03839481994509697,0.3531942665576935,0.6199461221694946,0.1272464543581009,0.3171563446521759,0.8183629214763641,0.9130638241767883,5000,,,,,,,,,0.6634698993534588,0.18249639080939517,0.4924940764904022,0.9271252155303955,0.055062126368284225,0.4619106362859676,0.005595523581135092,0.3069544364508393,0.0007993605115907274,0.407673860911271,0.0015987210231814548,0.03836930455635491,0.11,0.6,1,1.2,0,2.0,1.0,0.0
280985,3,default,5000,0.007817329838871956,0.0270271897315979,1.5753181514810422e-07,0.03648410737514496,0.3391983211040497,0.6201902031898499,0.12712611258029938,0.3223584294319153,0.8296354711055756,0.9295108914375305,5000,,,,,,,,,0.66144316490415,0.18404932852675882,0.516001284122467,0.9373269081115723,0.05473778396844864,0.4532486087699189,0.005595523581135092,0.3069544364508393,0.0015987210231814548,0.42366107114308554,0.002398081534772182,0.0407673860911271,0.11,0.6,1,1.2,0,2.0,1.0,0.0
280985,2,default,5000,0.006006706040352583,0.020954091101884842,2.4854985625211157e-08,0.028679794631898403,0.229322612285614,0.6204410195350647,0.12734952569007874,0.2905657887458801,0.828596442937851,0.9127216935157776,5000,,,,,,,,,0.663458231208231,0.1890797648389914,0.5028256773948669,0.9326271414756775,0.05234319716691971,0.5009764654057132,0.011191047162270184,0.3061550759392486,0.0,0.42685851318944845,0.0,0.019184652278177457,0.11,0.6,1,1.2,0,2.0,1.0,0.0
280985,0,default,5000,0.00653450982645154,0.023914070799946785,7.908241173026909e-07,0.03075708169490099,0.7367445826530457,0.6197817325592041,0.12566877901554108,0.2201399952173233,0.8214651942253113,0.9281452894210815,5000,,,,,,,,,0.6626777079560869,0.18346093135934483,0.49976855516433716,0.9377620816230774,0.054468389600515366,0.4696002478642351,0.007993605115907274,0.3069544364508393,0.002398081534772182,0.4108713029576339,0.0,0.0319744204636291,0.11,0.6,1,1.2,0,2.0,1.0,0.0
280985,4,default,5000,0.0055434368550777435,0.01847917214035988,2.7266765607262666e-15,0.03175259009003639,0.20382994413375854,0.6203025579452515,0.12634415924549103,0.30514055490493774,0.826284795999527,0.9323749542236328,5000,,,,,,,,,0.6634389974182839,0.18625009573084939,0.49902352690696716,0.9358934760093689,0.053997065871953964,0.4999129371062445,0.007194244604316547,0.3069544364508393,0.002398081534772182,0.42366107114308554,0.0015987210231814548,0.023980815347721823,0.11,0.6,1,1.2,0,2.0,1.0,0.0
998366,3,default,5000,0.005614612717181444,0.018026163801550865,1.7185323386570417e-08,0.028606205247342587,0.22064058482646942,0.6188167333602905,0.12539678812026978,0.27790942788124084,0.8267402052879333,0.9108574986457825,5000,,,,,,,,,0.6633901357603111,0.18573116132777198,0.49592703580856323,0.9344424605369568,0.05274602398276329,0.49704532809093965,0.004796163069544364,0.3029576338928857,0.0,0.416466826538769,0.0015987210231814548,0.023181454836131096,0.11,0.6,1,1.2,0,2.0,1.0,0.0
998366,1,default,5000,0.007122755516320467,0.022912930697202682,5.796250661660451e-07,0.0326756127178669,0.2716796398162842,0.6193898320198059,0.1265711784362793,0.2831437885761261,0.8204323053359985,0.9190893769264221,5000,,,,,,,,,0.664740696203985,0.1852239145145788,0.4979860782623291,0.9460209012031555,0.05435224622488022,0.45618352557321806,0.005595523581135092,0.3029576338928857,0.0,0.4228617106314948,0.0015987210231814548,0.026378896882494004,0.11,0.6,1,1.2,0,2.0,1.0,0.0
998366,2,default,5000,0.007521752268075943,0.025168538093566895,1.618669500658143e-07,0.04359247162938118,0.3433194160461426,0.6205159425735474,0.12835396826267242,0.28849464654922485,0.8262303173542023,0.9290605783462524,5000,,,,,,,,,0.662595855365459,0.19175407963145388,0.5048154592514038,0.9576331377029419,0.05434737354516983,0.44274881585046266,0.005595523581135092,0.3069544364508393,0.0015987210231814548,0.43005595523581136,0.002398081534772182,0.04476418864908074,0.11,0.6,1,1.2,0,2.0,1.0,0.0
998366,0,default,5000,0.005324151366949081,0.01726173795759678,2.0335788519787457e-07,0.030230597592890263,0.19224216043949127,0.6221128106117249,0.12406548857688904,0.27159130573272705,0.8186126053333282,0.8953856229782104,5000,,,,,,,,,0.6620326387844117,0.1831896530689951,0.49545007944107056,0.9634013772010803,0.053615670651197433,0.4953004296006952,0.003996802557953637,0.3117505995203837,0.0015987210231814548,0.4196642685851319,0.0007993605115907274,0.02158273381294964,0.11,0.6,1,1.2,0,2.0,1.0,0.0
998366,4,default,5000,0.00528694549575448,0.017871441319584846,2.7244064426668047e-07,0.02503076381981373,0.15822407603263855,0.6222162246704102,0.12796331942081451,0.3033042252063751,0.8277426362037659,0.9106235504150391,5000,,,,,,,,,0.6619632481861648,0.1843725386860461,0.5061843395233154,0.9617792367935181,0.053174685686826706,0.5011922214381236,0.007993605115907274,0.302158273381295,0.0015987210231814548,0.4180655475619504,0.0007993605115907274,0.01598721023181455,0.11,0.6,1,1.2,0,2.0,1.0,0.0
