clock,state,replay_mode,num_tagged,num_simulations,attunement_score,schema_stress,preset,vigilance,rt_mean,rt_std,accuracy,precision_ratio,volatility
6,awake,rest,5,5,3,0.222,adhd_typical,0.599,389.2,81.05,1.0,1.083,0.85
7,awake,rest,8,8,5,0.217,adhd_typical,0.598,454.12,95.62,1.0,1.069,0.83
8,awake,rest,3,3,0,0.267,adhd_typical,0.598,452.67,64.93,1.0,1.075,0.838
9,awake,rest,6,6,2,0.19,adhd_typical,0.598,439.33,82.98,1.0,1.121,0.904
10,awake,rest,3,3,2,0.164,adhd_typical,0.598,338.67,15.92,0.0,1.118,0.9
11,awake,rest,5,5,2,0.134,adhd_typical,0.597,421.2,52.69,0.0,1.108,0.886
12,awake,rest,5,5,0,0.116,adhd_typical,0.597,387.8,34.05,0.0,1.091,0.862
13,awake,rest,6,6,1,0.1,adhd_typical,0.597,414.0,89.15,0.0,1.061,0.817
14,awake,rest,8,8,0,0.145,adhd_typical,0.597,356.62,28.36,0.5,1.111,0.891
15,awake,rest,3,3,0,0.21,adhd_typical,0.596,363.33,54.27,1.0,1.106,0.884
16,awake,rest,5,5,0,0.236,adhd_typical,0.596,422.6,76.78,1.0,1.121,0.904
17,awake,pattern_search,7,7,3,0.319,adhd_typical,0.596,375.86,48.19,0.667,1.137,0.925
18,awake,pattern_search,2,2,2,0.265,adhd_typical,0.596,373.0,18.0,,1.146,0.936
19,awake,pattern_search,4,4,1,0.206,adhd_typical,0.595,403.25,46.98,,1.135,0.923
20,awake,pattern_search,4,4,0,0.244,adhd_typical,0.595,369.75,62.6,0.0,1.138,0.926
21,awake,pattern_search,4,4,2,0.271,adhd_typical,0.595,347.25,38.21,1.0,1.137,0.924
22,awake,rest,4,4,2,0.3,adhd_typical,0.595,391.25,90.5,0.0,1.132,0.919
23,awake,rest,1,1,0,0.263,adhd_typical,0.594,328.0,0.0,1.0,1.138,0.925
24,awake,rest,5,5,2,0.271,adhd_typical,0.594,443.8,110.06,1.0,1.131,0.917
25,awake,rest,4,4,3,0.21,adhd_typical,0.594,435.75,106.71,0.333,1.121,0.904
26,awake,rest,4,4,0,0.247,adhd_typical,0.594,392.25,49.65,0.667,1.119,0.901
27,awake,rest,2,2,3,0.212,adhd_typical,0.593,328.0,9.0,1.0,1.121,0.904
28,awake,rest,8,8,2,0.208,adhd_typical,0.593,381.38,52.15,1.0,1.118,0.9
29,awake,rest,6,6,1,0.225,adhd_typical,0.593,394.33,83.34,1.0,1.105,0.881
